fecha,indicativo,nombre,provincia,tmin,longitud,latitud,altitud
2021-01-06,9262,PAMPLONA,NAVARRA,-3.1,-1.6383333333333332,42.81777777777778,450
2021-01-06,6001,TARIFA,CADIZ,10.1,-5.598888888888888,36.013888888888886,32
2021-01-06,9263D,"PAMPLONA, AEROPUERTO",NAVARRA,-4.4,-1.65,42.776944444444446,459
2021-01-06,3044X,CAÑIZARES,CUENCA,-9.2,-2.15,40.530277777777776,928
2021-01-06,3195,"MADRID, RETIRO",MADRID,-2.2,-3.6780555555555554,40.411944444444444,667
2021-01-06,B893,"MENORCA, AEROPUERTO",ILLES BALEARS,-0.6,4.2155555555555555,39.85472222222222,91
2021-01-06,9573X,ALCAÑIZ,TERUEL,-3.4,-0.14166666666666666,41.058055555555555,334
2021-01-06,7119B,CARAVACA DE LA CRUZ,MURCIA,-2.1,-1.8772222222222223,38.1025,643
2021-01-06,0255B,SANTA SUSANNA,BARCELONA,-2.2,2.6969444444444446,41.65083333333333,40
2021-01-06,5612B,LA RODA DE ANDALUCÍA,SEVILLA,1,-4.77,37.19444444444444,410
2021-01-07,4358X,DON BENITO,BADAJOZ,2.9,-5.880555555555556,38.955555555555556,273
2021-01-07,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,1,-4.616388888888888,39.08861111111111,486
2021-01-07,6106X,ANTEQUERA,MALAGA,4.4,-4.748333333333333,37.029444444444444,408
2021-01-07,9698U,TALARN,LLEIDA,-5.8,0.8652777777777777,42.20527777777778,807
2021-01-07,4410X,MÉRIDA,BADAJOZ,3.2,-6.385555555555556,38.91583333333333,228
2021-01-07,1331A,CASTROPOL,ASTURIAS,0,-7.0313888888888885,43.52472222222222,40
2021-01-07,1690A,OURENSE,OURENSE,-1.3,-7.859722222222222,42.32527777777778,143
2021-01-07,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,-4.5,-0.25583333333333336,40.43333333333333,1131
2021-01-07,8025,ALICANTE/ALACANT,ALICANTE,6.2,-0.49416666666666664,38.3725,81
2021-01-07,9784P,BIELSA,HUESCA,-9.6,0.22472222222222224,42.63,992
2021-01-07,2331,BURGOS AEROPUERTO,BURGOS,-8.1,-3.620277777777778,42.356944444444444,891
2021-01-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,-3.1,-1.0041666666666667,41.660555555555554,249
2021-01-07,1109,SANTANDER AEROPUERTO,CANTABRIA,0.2,-3.8255555555555554,43.42388888888889,3
2021-01-07,6293X,ROQUETAS DE MAR,ALMERIA,7.8,-2.7016666666666667,36.68694444444444,3
2021-01-07,1212E,ASTURIAS AEROPUERTO,ASTURIAS,0.4,-6.0441666666666665,43.566944444444445,127
2021-01-07,9394X,CALATAYUD,ZARAGOZA,-4.2,-1.6452777777777778,41.33111111111111,582
2021-01-07,3094B,TARANCÓN,CUENCA,-1.6,-3.0213888888888887,40.01138888888889,808
2021-01-07,1059X,PUNTA GALEA,BIZKAIA,1.5,-3.0216666666666665,43.375,90
2021-01-07,1207U,"GIJÓN, CAMPUS",ASTURIAS,-2.7,-5.621111111111111,43.52305555555555,26
2021-01-07,6367B,HUÉRCAL-OVERA,ALMERIA,3.2,-1.9436111111111112,37.39055555555556,300
2021-01-07,7228,"ALCANTARILLA, BASE AÉREA",MURCIA,3.8,-1.2286111111111113,37.95777777777778,75
2021-01-07,7002Y,ÁGUILAS,MURCIA,7.4,-1.5869444444444445,37.41722222222222,26
2021-01-07,3191E,COLMENAR VIEJO,MADRID,-2,-3.765,40.69611111111111,1004
